is_simulcast,episode_count,audio_locales,title,keywords,subtitle_locales,description,content_provider,is_dubbed,series_launch_year,is_mature,is_subbed,id,season_count,maturity_ratings,average,total,1s_displayed,1s_unit,1s_percentage,2s_displayed,2s_unit,2s_percentage,3s_displayed,3s_unit,3s_percentage,4s_displayed,4s_unit,4s_percentage,5s_displayed,5s_unit,5s_percentage,season_tags
True,12,"ja-JP, en-US",The Legend of Heroes: Trails of Cold Steel - Northern War,"drama, action, adventure","es-ES, ar-SA, es-419, de-DE, fr-FR, ru-RU, pt-BR, it-IT, en-US","To protect her hometown from the Erebonian Empire and to distinguish herself from her grandfather’s disloyalty, Lavie enlists in the Northern Jaegers where she’ll do whatever it takes to carry out the mission. Now this rule breaker must form a platoon to embark on a dangerous recon mission into enemy lines—will her mission be a success?",Nada Holdings,True,2023,False,True,G0XHWM594,1,TV-14,4.0,2797,287,,11,191,,7,357,,13,477,,18,1.5,K,54,winter-2023
False,6,ja-JP,All Saints Street,comedy,"ru-RU, es-419, en-US, es-ES, it-IT, fr-FR, pt-BR, de-DE","The kind-hearted demon Neil dreams of living in the Human world when he's invited by his best friend, a vampire named Ira, to come to All Saints Street. His roommates in room 1031 are angles, mummies, and other ""non-humans"". Though he lives this tumultuous communal life with his roommates, within Neil lies the sleeping power...of the Demon King. Because of that power, a werewolf and Neil's demon brother also travel to the Human World. Will Neil be able to live a regular life in the Human World!?
It's just an ordinary tale about the ordinary lives of non-ordinary people.",Aniplex of America,False,2022,False,True,G0XHWM5N2,1,TV-14,4.8,2336,93,,4,11,,1,18,,1,127,,6,2.1,K,90,fall-2022
False,13,"en-US, ru-RU, de-DE, fr-FR, ja-JP",Tomo-chan Is a Girl!,"deutsche synchro, romance, comedy","ru-RU, es-419, es-ES, en-US, fr-FR, ar-SA, pt-BR, it-IT, de-DE","Tomboy Tomo couldn’t have picked a more awkward high school crush ’cause it’s on her childhood friend, Junichiro, but he only sees her as one of the guys. Despite her pretty looks and signals, nothing gets through to this meathead! Will Junichiro ever realize Tomo’s into him and see her for the cutesy girl she actually is?!",Aniplex of America,True,2023,False,True,G0XHWM5Q4,1,TV-14,4.8,49772,598,,2,265,,1,907,,2,3.6,K,8,44.4,K,90,winter-2023
True,8,ja-JP,Lee's Detective Agency,action,"es-ES, ru-RU, es-419, en-US, fr-FR, it-IT, pt-BR, de-DE","A mysterious man by the name of Lee dwells with Aak, Hung, and Waai Fu in the dark alleyways of Lungmen City. Styling themselves as Lee's Detective Agency, they strove to run errands, investigate mysteries, and mediate disputes for their neighbors. Herein lists a few of their actual yet strange cases to go with your tea.",Hypergryph,False,2022,False,True,G0XHWM5V4,1,TV-14,4.1,606,83,,14,29,,5,41,,7,69,,12,384,,64,"fall-2022, winter-2023"
False,12,"en-US, ja-JP",Kochoki,"drama, fantasy, action","es-419, hi-IN, pt-BR, de-DE, en-US","The fearsome warlord, the demonic king—Oda Nobunaga! Before he was trying to rule over Japan, he was a teenager who began his path to greatness with his younger brother and faithful followers. Through succession, betrayal, battles, and bonds between one another, the struggles these boys face promise a future where they can blossom into powerful men.","Happinet Co., Ltd.",True,2022,False,True,G0XHWM5X2,1,TV-14,4.3,454,32,,8,9,,2,30,,7,89,,20,294,,65,
True,6,"it-IT, hi-IN, ja-JP, fr-FR, pt-BR, es-419, de-DE, es-ES, ar-SA, en-US",My Unique Skill Makes Me OP even at Level 1,"deutsche synchro, comedy, fantasy","hi-IN, fr-FR, es-419, ru-RU, en-US, it-IT, pt-BR, ar-SA, es-ES, de-DE","Ryota Sato was once your typical office worker. Now, he’s slaying monsters in a new world! After suddenly being transported to this magical land, he learns he must kill monsters and profit from whatever they drop. But with a low skill level, all hope seems lost…until he discovers he has a unique ability to collect rare drops. Maybe he can survive this new world after all.",Amusement Media Institute,True,2023,False,True,G1XHJV0VV,1,TV-14,4.6,8642,303,,4,181,,3,364,,5,678,,8,7.1,K,83,summer-2023
False,12,zh-CN,Fairies Album,"adventure, fantasy, director:","it-IT, ru-RU, fr-FR, es-419, ar-SA, de-DE, en-US, pt-BR, es-ES","The planes humans and spirits exist on has always felt impossibly distant, but in this land’s capital, they’re closer than we could ever imagine. This is a world where the Spirit Doctor, Tao Yao, is seen as a savior and monster by these otherworldly beings. With her companions Mr. Liu, Moya, and Gungun, together they set out on a journey full of interactions with rich flavor.",Bilibili Inc,True,2022,False,False,G1XHJV2DX,1,TV-14,3.9,993,173,,18,23,,3,68,,7,151,,16,578,,59,summer-2022
False,12,"ja-JP, zh-CN","A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",fantasy,"ar-SA, es-419, es-ES, de-DE, pt-BR, fr-FR, ru-RU, it-IT, en-US","Desperate to defend her village from the demon king, Reiko offers herself to a 5,000-year-old dragon for his help in exchange, but the flame-breathing beast is vegetarian and a total weakling. Together they embark on a journey to take down the demon king. With her dragon comrade, Reiko claims that she’s his disciple, able to draw from his infinite powers, but is it really from him?",Bilibili Inc,True,2023,False,True,G1XHJV2NJ,1,TV-14,4.2,4395,453,,11,128,,3,267,,7,771,,18,2.8,K,64,"winter-2023, summer-2022"
False,16,"zh-CN, es-419, pt-BR",The Defective,"sci-fi, studio:, director:","es-419, de-DE, fr-FR, es-ES, pt-BR","A futuristic society is ruled by mind-link technology, but those who can’t be integrated into its system are outcast. Though opposites, Alliance General Lin Jingheng and young Lu Bixing unite to lead the “defectives” in fighting this unjust world.",Bilibili Inc,True,2022,False,False,G1XHJV2PZ,1,TV-14,3.7,296,76,,26,4,,2,20,,7,26,,9,170,,58,
False,13,"de-DE, es-419, en-US, ja-JP, pt-BR, fr-FR",Lycoris Recoil,"deutsche synchro, action, slice of life","it-IT, ar-SA, pt-BR, de-DE, ru-RU, en-US, fr-FR, es-ES, es-419","For these peaceful days――there’s a secret behind it all.

A secret organization that prevents crimes: “DA - Direct Attack”.
And their group of all-girl agents: “Lycoris”.

This peaceful everyday life is all thanks to these young girls.

The elite Chisato Nishikigi is the strongest Lycoris agent of all time.
Alongside is Takina Inoue, the talented but mysterious Lycoris. 
They work together at one of its branches–Café LycoReco.

Here, the orders this café takes range from coffee and sweets to childcare, shopping, teaching Japanese to foreign students, etc.
It's mostly tasks unbefitting of Lycoris.

The free-spirited and optimistic pacifist, Chisato.
And the cool-headed and efficient Takina.
The chaotic everyday lives of this mismatched duo begin!",Aniplex of America,True,2022,False,True,G1XHJV2X9,1,TV-14,4.8,33824,446,,2,184,,1,571,,2,2.2,K,7,30.4,K,90,summer-2022
